date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:20	132/132	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Jul%202022%2014:02:21%20GMT	https://codigosdarenda.com/robots.txt		(from )
11:02:20	34599/34599	---MCZ	200	added ('OK')	text/html	date:Mon,%2027%20Jun%202022%2012:28:18%20GMT	https://codigosdarenda.com/	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/index.html	(from )
11:02:21	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2004%20Jul%202022%2014:02:21%20GMT	https://kit.fontawesome.com/47947ba139.js	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/kit.fontawesome.com/47947ba139.js	(from https://codigosdarenda.com/)
11:02:21	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://codigosdarenda.com/)
11:02:22	1148/1148	---MCZ	200	added ('OK')	text/css	etag:W/%22624b3f4d-47c%22	https://codigosdarenda.com/styles/extra43a0.css	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/styles/extra43a0.css	(from https://codigosdarenda.com/)
11:02:22	2625/2625	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5e-a41%22	https://cdnjs.cloudflare.com/ajax/libs/flickity/1.0.0/flickity.css	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/cdnjs.cloudflare.com/ajax/libs/flickity/1.0.0/flickity.css	(from https://codigosdarenda.com/)
11:02:22	160403/160403	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/stackpath.bootstrapcdn.com/bootstrap/4.5.0/css/bootstrap.min.css	(from https://codigosdarenda.com/)
11:02:23	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://codigosdarenda.com/)
11:02:24	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/code.jquery.com/jquery-3.5.1.min.js	(from https://codigosdarenda.com/)
11:02:24	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://codigosdarenda.com/)
11:02:24	60174/60174	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:10%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	(from https://codigosdarenda.com/)
11:02:25	706037/706037	---M--	200	added ('OK')	image/png	etag:%226245157a-ac5f5%22	https://codigosdarenda.com/imagens/back1.png?v=2	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/imagens/back15e1f.png	(from https://codigosdarenda.com/)
11:02:25	180307/180307	---M--	200	added ('OK')	image/png	etag:%22624c495a-2c053%22	https://codigosdarenda.com/imagens/back2.png?v=2	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/imagens/back25e1f.png	(from https://codigosdarenda.com/)
11:02:25	6788/6788	---M--	200	added ('OK')	image/jpeg	etag:%22624c4954-1a84%22	https://codigosdarenda.com/imagens/fundo.jpg?v=2	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/imagens/fundo5e1f.jpg	(from https://codigosdarenda.com/)
11:02:26	14203/14203	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22624c4955-377b%22	https://codigosdarenda.com/imagens/logo.svg?v=2	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/imagens/logo5e1f.svg	(from https://codigosdarenda.com/)
11:02:26	1424/1424	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262451588-590%22	https://codigosdarenda.com/imagens/volume-high-solid.svg?v=2	C:/My%20Web%20Sites/CODIGOS%20DA%20RENDA/codigosdarenda.com/imagens/volume-high-solid5e1f.svg	(from https://codigosdarenda.com/)
